sentence1,sentence2,score,source,pair_type,topic,split
Ankara'da iki aracın çarpışması sonucu 4 kişi yaralandı.,Ankara'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.904246,synthetic,paraphrase,asayis,train
ABD'de yapılan seçimleri muhalefet kazandı.,ABD iklim zirvesine ev sahipliği yapıyor.,0.281006,synthetic,related,dunya,train
ünlü sunucu eşinden boşandığını duyurdu.,Trabzon'da meydana gelen trafik kazasında 5 kişi yaralandı.,0.081713,synthetic,unrelated,magazin|asayis,train
Çin'de yapılan seçimleri muhalefet kazandı.,Fransa'de meydana gelen depremde maddi hasar oluştu.,0.237955,synthetic,related,dunya,train
Japonya'de düzenlenen genel seçimlerde sonuçlar belli oldu.,Japonya halkı sandık başına giderek yeni yönetimini seçti.,0.568839,synthetic,paraphrase,dunya,train
Bir gün senin videolarının rehberliğinde aynı şekilde bende gezgin olmak istiyorum,Antepte oturduğum yerde dünyayı bana gezdiriyorsunuz.,0.514754,manual,manual,,train
"Adana Demirspor, sahasında Fenerbahçe'yi 2-2 mağlup etti.",Rizespor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.310478,synthetic,related,spor,train
Muz fiyatları son bir ayda yüzde 39 arttı.,Dolar kuru güne yüzde 14 yükselişle başladı.,0.370137,synthetic,related,ekonomi,train
ünlü sunucu eşinden boşandığını duyurdu.,Ulaştırma Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.14709,synthetic,unrelated,magazin|siyaset,train
İngiltere iklim zirvesine ev sahipliği yapıyor.,İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.121565,synthetic,unrelated,dunya|asayis,train
"Hatayspor, Kasımpaşa karşısında sahadan 1-0 galip ayrıldı.",Hatayspor evinde Kasımpaşa'yi 1-0'lik skorla yendi.,0.923889,synthetic,paraphrase,spor,train
Fenomen isim eşiyle Bolu'da tatil yaparken görüntülendi.,Fenomen isim ve eşinin Bolu tatilinden kareler paylaşıldı.,0.934892,synthetic,paraphrase,magazin,train
Ünlü model yeni bir aşka yelken açtı.,Ünlü model yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.843706,synthetic,paraphrase,magazin,train
popüler sunucu sürpriz bir törenle dünyaevine girdi.,"Beşiktaş, sahasında Antalyaspor'yi 3-3 mağlup etti.",0.014411,synthetic,unrelated,magazin|spor,train
"ödüllü yönetmen, Aydın'da tatilde görüntülendi.",Denizli'a mevsimin ilk karı düştü.,0.218089,synthetic,unrelated,magazin|hava,train
Ünlü model sevgilisiyle nişanlandı.,Ünlü model mutlu haberi nişan yüzükleriyle duyurdu.,0.757291,synthetic,paraphrase,magazin,train
Hollanda'de meydana gelen depremde maddi hasar oluştu.,Fransa iklim zirvesine ev sahipliği yapıyor.,0.14063,synthetic,related,dunya,train
İtalya iklim zirvesine ev sahipliği yapıyor.,Antalya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.175421,synthetic,unrelated,dunya|asayis,train
Dolar kuru güne yüzde 26 yükselişle başladı.,Merkez Bankası politika faizini sabit tuttu.,0.262895,synthetic,related,ekonomi,train
pop yıldızı sürpriz bir törenle dünyaevine girdi.,Meteoroloji İzmir için kuvvetli yağış uyarısı yaptı.,0.191763,synthetic,unrelated,magazin|hava,train
Japonya'de meydana gelen depremde maddi hasar oluştu.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.170497,synthetic,unrelated,dunya|saglik,train
"Başakşehir, tecrübeli oyuncuyla anlaşmaya vardı.",Başakşehir deneyimli futbolcuyu kadrosuna kattı.,0.773898,synthetic,paraphrase,spor,train
"Gaziantep FK, Alanyaspor karşısında sahadan 2-1 galip ayrıldı.",Gaziantep FK evinde Alanyaspor'yi 2-1'lik skorla yendi.,0.910291,synthetic,paraphrase,spor,train
Teknoloji şirketi yeni oyun konsolu tanıttı.,sevilen komedyen eşinden boşandığını duyurdu.,0.083041,synthetic,unrelated,teknoloji|magazin,train
ünlü oyuncu yeni projesiyle ekranlara dönüyor.,sevilen sanatçı eşinden boşandığını duyurdu.,0.222098,synthetic,related,magazin,train
Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,İzmir'a mevsimin ilk karı düştü.,0.130136,synthetic,unrelated,saglik|hava,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.080862,synthetic,unrelated,teknoloji|saglik,train
"Konyaspor, tecrübeli oyuncuyla anlaşmaya vardı.",Konyaspor deneyimli futbolcuyu kadrosuna kattı.,0.788773,synthetic,paraphrase,spor,train
"Konyaspor, yıldız futbolcuyla sözleşme yeniledi.",Beşiktaş'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.230255,synthetic,related,spor,train
Sakarya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Cumhurbaşkanı Yunanistan'e resmi ziyarette bulundu.,0.128687,synthetic,unrelated,asayis|siyaset,train
Teknoloji devi yeni oyun konsolu modelini duyurdu.,Şirket güncellenmiş oyun konsolu sürümünü kullanıma sundu.,0.763135,synthetic,paraphrase,teknoloji,train
Ankara'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Bursa'da meydana gelen trafik kazasında 4 kişi yaralandı.,0.214117,synthetic,related,asayis,train
Popüler sunucu sevgilisiyle nişanlandı.,Popüler sunucu mutlu haberi nişan yüzükleriyle duyurdu.,0.724485,synthetic,paraphrase,magazin,train
Kayseri'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Kayseri'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.820848,synthetic,paraphrase,asayis,train
ABD iklim zirvesine ev sahipliği yapıyor.,İngiltere'de yapılan seçimleri muhalefet kazandı.,0.088266,synthetic,related,dunya,train
iktidar partisi yeni yasa teklifini meclise sundu.,"Beşiktaş, yıldız futbolcuyla sözleşme yeniledi.",0.129119,synthetic,unrelated,siyaset|spor,train
Çin'de yapılan seçimleri muhalefet kazandı.,İtalya iklim zirvesine ev sahipliği yapıyor.,0.124932,synthetic,related,dunya,train
Ünlü model eşiyle Trabzon'da tatil yaparken görüntülendi.,Ünlü model ve eşinin Trabzon tatilinden kareler paylaşıldı.,0.960258,synthetic,paraphrase,magazin,train
"genç oyuncu, Kayseri'da tatilde görüntülendi.",Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.058288,synthetic,unrelated,magazin|saglik,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.274479,synthetic,unrelated,saglik|siyaset,train
"Trabzonspor, Hatayspor karşısında sahadan 2-0 galip ayrıldı.",Trabzonspor evinde Hatayspor'yi 2-0'lik skorla yendi.,0.894507,synthetic,paraphrase,spor,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,İstanbul'da meydana gelen trafik kazasında 1 kişi yaralandı.,0.144187,synthetic,unrelated,saglik|asayis,train
Genç oyuncu eşiyle Denizli'da tatil yaparken görüntülendi.,Genç oyuncu ve eşinin Denizli tatilinden kareler paylaşıldı.,0.952716,synthetic,paraphrase,magazin,train
ana muhalefet partisi yeni yasa teklifini meclise sundu.,ödüllü yönetmen yeni projesiyle ekranlara dönüyor.,0.240043,synthetic,unrelated,siyaset|magazin,train
Bu adam claude sayesinde binlerce dolar kazandı.,"Bir hostes, Claude kullanarak Tiktok ve Instagram'dan 12.000 dolar kazandı.",0.580055,manual,manual,,train
Borsa İstanbul günü yüzde 34 değişimle kapattı.,Merkez Bankası politika faizini sabit tuttu.,0.205396,synthetic,related,ekonomi,train
Peynir fiyatları son bir ayda yüzde 29 arttı.,Teknoloji şirketi yeni elektrikli otomobil tanıttı.,0.100009,synthetic,unrelated,ekonomi|teknoloji,train
Milli Eğitim Bakanlığı yapay zeka dersini müfredata ekliyor.,Okullarda yapay zeka eğitimi zorunlu ders olacak.,0.771426,manual,manual,,train
İzmir'da sıcaklık 30 dereceye ulaştı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.031954,synthetic,unrelated,hava|teknoloji,train
Pirinç fiyatları son bir ayda yüzde 38 arttı.,Kayserispor teknik direktörüyle yollarını ayırdı.,0.028059,synthetic,unrelated,ekonomi|spor,train
"Başakşehir, ligi lider tamamlayarak şampiyonluğa ulaştı.",Başakşehir sezonu zirvede bitirip şampiyon oldu.,0.881717,synthetic,paraphrase,spor,train
Gaziantep'da iki aracın çarpışması sonucu 4 kişi yaralandı.,Gaziantep'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.899869,synthetic,paraphrase,asayis,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Dolar kuru güne yüzde 33 yükselişle başladı.,0.227745,synthetic,unrelated,saglik|ekonomi,train
Ünlü sunucu sevgilisiyle nişanlandı.,Ünlü sunucu mutlu haberi nişan yüzükleriyle duyurdu.,0.739727,synthetic,paraphrase,magazin,train
Merkez Bankası politika faizini sabit tuttu.,Sakarya'a mevsimin ilk karı düştü.,0.084229,synthetic,unrelated,ekonomi|hava,train
"Hatayspor, Sivasspor karşısında sahadan 1-1 galip ayrıldı.",Hatayspor evinde Sivasspor'yi 1-1'lik skorla yendi.,0.912913,synthetic,paraphrase,spor,train
Dolar kuru güne yüzde 34 yükselişle başladı.,genç oyuncu sürpriz bir törenle dünyaevine girdi.,0.180367,synthetic,unrelated,ekonomi|magazin,train
"sevilen sanatçı, Trabzon'da tatilde görüntülendi.",pop yıldızı yeni projesiyle ekranlara dönüyor.,0.252857,synthetic,related,magazin,train
ünlü model eşinden boşandığını duyurdu.,Kasımpaşa teknik direktörüyle yollarını ayırdı.,0.323783,synthetic,unrelated,magazin|spor,train
Dolar kuru güne yüzde 10 yükselişle başladı.,Dolar kuru güne yüzde 11 yükselişle başladı.,0.787472,synthetic,related,ekonomi,train
Kayseri'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Kayseri beklenenden daha sıcak bir güne uyandı.,0.677538,synthetic,paraphrase,hava,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Ankara'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.122093,synthetic,unrelated,saglik|asayis,train
Dolar kuru güne yüzde 9 yükselişle başladı.,Teknoloji şirketi yeni işletim sistemi tanıttı.,0.127671,synthetic,unrelated,ekonomi|teknoloji,train
Meteoroloji Diyarbakır için kuvvetli yağış uyarısı yaptı.,Çay fiyatları son bir ayda yüzde 20 arttı.,0.157075,synthetic,unrelated,hava|ekonomi,train
Mersin'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Mersin'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.839426,synthetic,paraphrase,asayis,train
"Şirket, yapay zeka etik kurallarını yeniden belirledi.","Firma, AI kullanımına dair yeni etik ilkeler yayımladı.",0.841103,manual,manual,,train
Bursa ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Bursa için sağanak uyarısında bulundu.,0.774368,synthetic,paraphrase,hava,train
Tarım ve Orman Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Borsa İstanbul günü yüzde 9 değişimle kapattı.,0.131697,synthetic,unrelated,siyaset|ekonomi,train
Migren vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri migren vakalarının yükseldiğini bildirdi.,0.756013,synthetic,paraphrase,saglik,train
Meteoroloji Mersin için kuvvetli yağış uyarısı yaptı.,Ankara'a mevsimin ilk karı düştü.,0.201309,synthetic,related,hava,train
Japonya iklim zirvesine ev sahipliği yapıyor.,İtalya'de meydana gelen depremde maddi hasar oluştu.,0.15678,synthetic,related,dunya,train
Fransa iklim zirvesine ev sahipliği yapıyor.,Diyarbakır'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.077172,synthetic,unrelated,dunya|asayis,train
Yıllık enflasyon yüzde 2 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 2 olarak duyurdu.,0.950597,synthetic,paraphrase,ekonomi,train
Teknoloji şirketi yeni sohbet robotu tanıttı.,Sakarya'a mevsimin ilk karı düştü.,0.100774,synthetic,unrelated,teknoloji|hava,train
Büyük bir bankanın kredi faizleri düşürüldü.,Konut kredisi faiz oranlarında indirime gidildi.,0.749409,manual,manual,,train
İstanbul'da sıcaklık 44 dereceye ulaştı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.061501,synthetic,unrelated,hava|teknoloji,train
pop yıldızı eşinden boşandığını duyurdu.,pop yıldızı yeni projesiyle ekranlara dönüyor.,0.456705,synthetic,related,magazin,train
Trabzonspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,"Sivasspor, yıldız futbolcuyla sözleşme yeniledi.",0.288826,synthetic,related,spor,train
Teknoloji şirketi yeni dizüstü bilgisayar tanıttı.,Fransa iklim zirvesine ev sahipliği yapıyor.,0.115444,synthetic,unrelated,teknoloji|dunya,train
"Eyüpspor, tecrübeli oyuncuyla anlaşmaya vardı.",Eyüpspor deneyimli futbolcuyu kadrosuna kattı.,0.735617,synthetic,paraphrase,spor,train
Liselerde uzaktan eğitim seçeneği kalıcı hale getirildi.,Öğrenciler artık isteğe bağlı uzaktan derslere katılabilecek.,0.78753,manual,manual,,train
Eyüpspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,0.026977,synthetic,unrelated,spor|siyaset,train
iktidar partisi yeni yasa teklifini meclise sundu.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.092679,synthetic,unrelated,siyaset|saglik,train
Samsun'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Samsun'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.895848,synthetic,paraphrase,asayis,train
"pop yıldızı, Antalya'da tatilde görüntülendi.","popüler sunucu, Sakarya'da tatilde görüntülendi.",0.621734,synthetic,related,magazin,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.403438,synthetic,related,saglik,train
"Bodrum FK, yıldız futbolcuyla sözleşme yeniledi.","Sivasspor, yıldız futbolcuyla sözleşme yeniledi.",0.770146,synthetic,related,spor,train
Meteoroloji Ankara için kuvvetli yağış uyarısı yaptı.,Sakarya'a mevsimin ilk karı düştü.,0.235841,synthetic,related,hava,train
"Beşiktaş, sahasında Trabzonspor'yi 4-3 mağlup etti.","Beşiktaş, yıldız futbolcuyla sözleşme yeniledi.",0.222713,synthetic,related,spor,train
Milli takımın yeni forması tanıtım töreniyle görücüye çıktı.,"Federasyon, yeni forma tasarımını taraftarla paylaştı.",0.575536,manual,manual,,train
"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.",Muğla'a mevsimin ilk karı düştü.,0.082227,synthetic,unrelated,spor|hava,train
pop yıldızı sürpriz bir törenle dünyaevine girdi.,"popüler sunucu, Bursa'da tatilde görüntülendi.",0.313332,synthetic,related,magazin,train
Kızamık vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri kızamık vakalarının yükseldiğini bildirdi.,0.446274,synthetic,paraphrase,saglik,train
Eskişehir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Uzmanlar migren vakalarındaki artışa dikkat çekti.,0.294479,synthetic,unrelated,asayis|saglik,train
Konya'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Konya beklenenden daha sıcak bir güne uyandı.,0.692816,synthetic,paraphrase,hava,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,koalisyon ortağı yeni yasa teklifini meclise sundu.,0.141917,synthetic,unrelated,teknoloji|siyaset,train
Borsa İstanbul günü yüzde 1 değişimle kapattı.,Ekmek fiyatları son bir ayda yüzde 7 arttı.,0.207658,synthetic,related,ekonomi,train
Muğla'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Muğla beklenenden daha sıcak bir güne uyandı.,0.686253,synthetic,paraphrase,hava,train
"Göztepe, ligi lider tamamlayarak şampiyonluğa ulaştı.",Göztepe sezonu zirvede bitirip şampiyon oldu.,0.880462,synthetic,paraphrase,spor,train
Borsa İstanbul günü yüzde 5 değişimle kapattı.,Meteoroloji Adana için kuvvetli yağış uyarısı yaptı.,0.14276,synthetic,unrelated,ekonomi|hava,train
Teknoloji devi yeni yapay zeka modeli modelini duyurdu.,Şirket güncellenmiş yapay zeka modeli sürümünü kullanıma sundu.,0.814664,synthetic,paraphrase,teknoloji,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Japonya'de meydana gelen depremde maddi hasar oluştu.,0.067765,synthetic,unrelated,teknoloji|dunya,train
Teknoloji şirketi yeni akıllı telefon tanıttı.,Merkez Bankası politika faizini sabit tuttu.,0.043333,synthetic,unrelated,teknoloji|ekonomi,train
Mersin'da meydana gelen trafik kazasında 2 kişi yaralandı.,İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.215114,synthetic,related,asayis,train
"ünlü sunucu, Konya'da tatilde görüntülendi.",Popüler uygulama yapay zeka modeli için yeni güncelleme yayınladı.,0.122569,synthetic,unrelated,magazin|teknoloji,train
Ünlü model eşiyle Bursa'da tatil yaparken görüntülendi.,Ünlü model ve eşinin Bursa tatilinden kareler paylaşıldı.,0.958756,synthetic,paraphrase,magazin,train
ünlü model sürpriz bir törenle dünyaevine girdi.,fenomen isim sürpriz bir törenle dünyaevine girdi.,0.701495,synthetic,related,magazin,train
Teknoloji devi yeni dizüstü bilgisayar modelini duyurdu.,Şirket güncellenmiş dizüstü bilgisayar sürümünü kullanıma sundu.,0.785617,synthetic,paraphrase,teknoloji,train
Bolu'da meydana gelen trafik kazasında 2 kişi yaralandı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.081537,synthetic,unrelated,asayis|saglik,train
Merkez Bankası politika faizini sabit tuttu.,Milli Eğitim Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.144443,synthetic,unrelated,ekonomi|siyaset,train
Mersin'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Mersin'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.889678,synthetic,paraphrase,asayis,train
Uzmanlar migren vakalarındaki artışa dikkat çekti.,Adana'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.195929,synthetic,unrelated,saglik|asayis,train
Sivasspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,"Antalyaspor, sahasında Fenerbahçe'yi 3-2 mağlup etti.",0.258118,synthetic,related,spor,train
"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.",Konya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.100323,synthetic,unrelated,spor|asayis,train
Merkez Bankası politika faizini sabit tuttu.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.059741,synthetic,unrelated,ekonomi|teknoloji,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Dolar kuru güne yüzde 17 yükselişle başladı.,0.217246,synthetic,unrelated,saglik|ekonomi,train
"pop yıldızı, Aydın'da tatilde görüntülendi.",Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,0.101008,synthetic,unrelated,magazin|teknoloji,train
Uzmanlar migren vakalarındaki artışa dikkat çekti.,Uzmanlar boğaz enfeksiyonu vakalarındaki artışa dikkat çekti.,0.655691,synthetic,related,saglik,train
Uzmanlar yüksek tansiyon vakalarındaki artışa dikkat çekti.,Teknoloji şirketi yeni yapay zeka modeli tanıttı.,0.106858,synthetic,unrelated,saglik|teknoloji,train
Ankara'da çıkan yangın itfaiye ekiplerince söndürüldü.,Muz fiyatları son bir ayda yüzde 6 arttı.,0.06221,synthetic,unrelated,asayis|ekonomi,train
Merkez Bankası faiz oranlarında değişikliğe gitti.,"TCMB, politika faizini beklenmedik şekilde güncelledi.",0.614102,manual,manual,,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,koalisyon ortağı yeni yasa teklifini meclise sundu.,0.291922,synthetic,unrelated,saglik|siyaset,train
Ankara'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Ankara beklenenden daha sıcak bir güne uyandı.,0.703213,synthetic,paraphrase,hava,train
Teknoloji şirketi yeni akıllı telefon tanıttı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.370701,synthetic,related,teknoloji,train
"Bodrum FK, Hatayspor karşısında sahadan 2-1 galip ayrıldı.",Bodrum FK evinde Hatayspor'yi 2-1'lik skorla yendi.,0.914231,synthetic,paraphrase,spor,train
Beşiktaş teknik direktörüyle yollarını ayırdı.,Hatayspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.420881,synthetic,related,spor,train
Trabzon'a mevsimin ilk karı düştü.,sevilen komedyen eşinden boşandığını duyurdu.,0.119878,synthetic,unrelated,hava|magazin,train
İstanbul'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,İstanbul'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.828436,synthetic,paraphrase,asayis,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,sevilen sanatçı sürpriz bir törenle dünyaevine girdi.,0.096268,synthetic,unrelated,saglik|magazin,train
Ünlü şarkıcı eşiyle Muğla'da tatil yaparken görüntülendi.,Ünlü şarkıcı ve eşinin Muğla tatilinden kareler paylaşıldı.,0.959715,synthetic,paraphrase,magazin,train
Çin iklim zirvesine ev sahipliği yapıyor.,Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.124593,synthetic,unrelated,dunya|siyaset,train
Sevilen sanatçı sevgilisiyle nişanlandı.,Sevilen sanatçı mutlu haberi nişan yüzükleriyle duyurdu.,0.733679,synthetic,paraphrase,magazin,train
Ünlü şarkıcı sevgilisiyle nişanlandı.,Ünlü şarkıcı mutlu haberi nişan yüzükleriyle duyurdu.,0.772336,synthetic,paraphrase,magazin,train
Gaziantep FK'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.120197,synthetic,unrelated,spor|saglik,train
İngiltere'de meydana gelen depremde maddi hasar oluştu.,Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,0.118376,synthetic,unrelated,dunya|teknoloji,train
koalisyon ortağı yeni yasa teklifini meclise sundu.,Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.413313,synthetic,related,siyaset,train
"Kayserispor, tecrübeli oyuncuyla anlaşmaya vardı.",Kayserispor deneyimli futbolcuyu kadrosuna kattı.,0.750626,synthetic,paraphrase,spor,train
ünlü model sürpriz bir törenle dünyaevine girdi.,Hatayspor teknik direktörüyle yollarını ayırdı.,0.05676,synthetic,unrelated,magazin|spor,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.206737,synthetic,related,teknoloji,train
mecliste grubu bulunan bir parti yeni yasa teklifini meclise sundu.,İspanya'de yapılan seçimleri muhalefet kazandı.,0.198996,synthetic,unrelated,siyaset|dunya,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Hatayspor teknik direktörüyle yollarını ayırdı.,0.127217,synthetic,unrelated,saglik|spor,train
Trabzon'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Trabzon'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.834348,synthetic,paraphrase,asayis,train
Japonya iklim zirvesine ev sahipliği yapıyor.,Yunanistan iklim zirvesine ev sahipliği yapıyor.,0.700047,synthetic,related,dunya,train
Merkez Bankası politika faizini sabit tuttu.,Borsa İstanbul günü yüzde 36 değişimle kapattı.,0.201741,synthetic,related,ekonomi,train
Meteoroloji Adana için kuvvetli yağış uyarısı yaptı.,İstanbul'a mevsimin ilk karı düştü.,0.209297,synthetic,related,hava,train
Merkez Bankası politika faizini sabit tuttu.,Soğan fiyatları son bir ayda yüzde 12 arttı.,0.214697,synthetic,related,ekonomi,train
Aydın'da sıcaklık 40 dereceye ulaştı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.113134,synthetic,unrelated,hava|saglik,train
"Samsunspor, Bodrum FK karşısında sahadan 1-2 galip ayrıldı.",Samsunspor evinde Bodrum FK'yi 1-2'lik skorla yendi.,0.906691,synthetic,paraphrase,spor,train
Almanya'de yapılan seçimleri muhalefet kazandı.,"ünlü sunucu, Gaziantep'da tatilde görüntülendi.",0.132996,synthetic,unrelated,dunya|magazin,train
"Samsunspor, yıldız futbolcuyla sözleşme yeniledi.",Kasımpaşa teknik direktörüyle yollarını ayırdı.,0.347882,synthetic,related,spor,train
Popüler uygulama oyun konsolu için yeni güncelleme yayınladı.,Cumhurbaşkanı İspanya'e resmi ziyarette bulundu.,0.131553,synthetic,unrelated,teknoloji|siyaset,train
"ünlü model, Konya'da tatilde görüntülendi.",sevilen sanatçı sürpriz bir törenle dünyaevine girdi.,0.324406,synthetic,related,magazin,train
Aydın'a mevsimin ilk karı düştü.,fenomen isim yeni projesiyle ekranlara dönüyor.,0.26576,synthetic,unrelated,hava|magazin,train
Merkez Bankası politika faizini sabit tuttu.,Muz fiyatları son bir ayda yüzde 14 arttı.,0.181736,synthetic,related,ekonomi,train
Bolu'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Bolu'da meydana gelen trafik kazasında 4 kişi yaralandı.,0.381933,synthetic,related,asayis,train
Almanya iklim zirvesine ev sahipliği yapıyor.,ünlü model yeni projesiyle ekranlara dönüyor.,0.090933,synthetic,unrelated,dunya|magazin,train
Meteoroloji Sakarya için kuvvetli yağış uyarısı yaptı.,Meteoroloji Trabzon için kuvvetli yağış uyarısı yaptı.,0.67373,synthetic,related,hava,train
"Antalyaspor, Kayserispor karşısında sahadan 4-0 galip ayrıldı.",Antalyaspor evinde Kayserispor'yi 4-0'lik skorla yendi.,0.92563,synthetic,paraphrase,spor,train
Fenerbahçe teknik direktörüyle yollarını ayırdı.,fenomen isim eşinden boşandığını duyurdu.,0.338056,synthetic,unrelated,spor|magazin,train
Genç oyuncu eşiyle Sakarya'da tatil yaparken görüntülendi.,Genç oyuncu ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.957388,synthetic,paraphrase,magazin,train
"Gaziantep FK, yıldız futbolcuyla sözleşme yeniledi.",ünlü model yeni projesiyle ekranlara dönüyor.,0.272861,synthetic,unrelated,spor|magazin,train
Popüler uygulama sohbet robotu için yeni güncelleme yayınladı.,Hollanda'de meydana gelen depremde maddi hasar oluştu.,0.13509,synthetic,unrelated,teknoloji|dunya,train
Peynir fiyatları son bir ayda yüzde 23 arttı.,Meteoroloji Adana için kuvvetli yağış uyarısı yaptı.,0.132116,synthetic,unrelated,ekonomi|hava,train
"Kayserispor, sahasında Kasımpaşa'yi 3-0 mağlup etti.",Eskişehir'da meydana gelen trafik kazasında 3 kişi yaralandı.,0.364213,synthetic,unrelated,spor|asayis,train
Sakarya'da çıkan yangın itfaiye ekiplerince söndürüldü.,Bolu'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.831379,synthetic,related,asayis,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,sevilen komedyen yeni projesiyle ekranlara dönüyor.,0.162723,synthetic,unrelated,teknoloji|magazin,train
Mersin'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Mersin beklenenden daha sıcak bir güne uyandı.,0.618261,synthetic,paraphrase,hava,train
Yıllık enflasyon yüzde 24 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 24 olarak duyurdu.,0.955126,synthetic,paraphrase,ekonomi,train
